,iteration,visit,item_id,visitor_id,reward,total_reward,fraction_relevant
0,0,0,0132793040,AKM1MP6P0OYPR,1,1,1.0
1,0,1,0132793040,AKM1MP6P0OYPR,1,2,1.0
2,0,2,0132793040,AKM1MP6P0OYPR,1,3,1.0
3,0,3,0594296420,A2B4F6LP0ZLI8E,0,3,0.75
4,0,4,0132793040,AKM1MP6P0OYPR,1,4,0.8
5,0,5,0132793040,AKM1MP6P0OYPR,1,5,0.8333333333333334
6,0,6,0132793040,AKM1MP6P0OYPR,1,6,0.8571428571428571
7,0,7,0132793040,AKM1MP6P0OYPR,1,7,0.875
8,0,8,0528881469,A1E4WG8HRWWK4R,1,8,0.8888888888888888
9,0,9,0132793040,AKM1MP6P0OYPR,1,9,0.9
10,0,10,0132793040,AKM1MP6P0OYPR,1,10,0.9090909090909091
11,0,11,0132793040,AKM1MP6P0OYPR,1,11,0.9166666666666666
12,0,12,0132793040,AKM1MP6P0OYPR,1,12,0.9230769230769231
13,0,13,0132793040,AKM1MP6P0OYPR,1,13,0.9285714285714286
14,0,14,0132793040,AKM1MP6P0OYPR,1,14,0.9333333333333333
15,0,15,0132793040,AKM1MP6P0OYPR,1,15,0.9375
16,0,16,0528881469,AR84FMFYCQCWF,0,15,0.8823529411764706
17,0,17,0132793040,AKM1MP6P0OYPR,1,16,0.8888888888888888
18,0,18,0132793040,AKM1MP6P0OYPR,1,17,0.8947368421052632
19,0,19,0132793040,AKM1MP6P0OYPR,1,18,0.9
20,0,20,0594451647,A3BY5KCNQZXV5U,1,19,0.9047619047619048
21,0,21,0132793040,AKM1MP6P0OYPR,1,20,0.9090909090909091
22,0,22,0132793040,AKM1MP6P0OYPR,1,21,0.9130434782608695
23,0,23,0594450209,AWA0CM7TY98QX,1,22,0.9166666666666666
24,0,24,0132793040,AKM1MP6P0OYPR,1,23,0.92
25,0,25,0594033896,AOK77THMKCGXZ,0,23,0.8846153846153846
26,0,26,0132793040,AKM1MP6P0OYPR,1,24,0.8888888888888888
27,0,27,0132793040,AKM1MP6P0OYPR,1,25,0.8928571428571429
28,0,28,0132793040,AKM1MP6P0OYPR,1,26,0.896551724137931
29,0,29,0132793040,AKM1MP6P0OYPR,1,27,0.9
30,0,30,0132793040,AKM1MP6P0OYPR,1,28,0.9032258064516129
31,0,31,0132793040,AKM1MP6P0OYPR,1,29,0.90625
32,0,32,0132793040,AKM1MP6P0OYPR,1,30,0.9090909090909091
33,0,33,0132793040,AKM1MP6P0OYPR,1,31,0.9117647058823529
34,0,34,0132793040,AKM1MP6P0OYPR,1,32,0.9142857142857143
35,0,35,0132793040,AKM1MP6P0OYPR,1,33,0.9166666666666666
36,0,36,0132793040,AKM1MP6P0OYPR,1,34,0.918918918918919
37,0,37,0132793040,AKM1MP6P0OYPR,1,35,0.9210526315789473
38,0,38,0132793040,AKM1MP6P0OYPR,1,36,0.9230769230769231
39,0,39,0132793040,AKM1MP6P0OYPR,1,37,0.925
40,0,40,0132793040,AKM1MP6P0OYPR,1,38,0.926829268292683
41,0,41,0132793040,AKM1MP6P0OYPR,1,39,0.9285714285714286
42,0,42,0132793040,AKM1MP6P0OYPR,1,40,0.9302325581395349
43,0,43,0132793040,AKM1MP6P0OYPR,1,41,0.9318181818181818
44,0,44,0132793040,AKM1MP6P0OYPR,1,42,0.9333333333333333
45,0,45,0132793040,AKM1MP6P0OYPR,1,43,0.9347826086956522
46,0,46,0132793040,AKM1MP6P0OYPR,1,44,0.9361702127659575
47,0,47,0132793040,AKM1MP6P0OYPR,1,45,0.9375
48,0,48,0132793040,AKM1MP6P0OYPR,1,46,0.9387755102040817
49,0,49,0132793040,AKM1MP6P0OYPR,1,47,0.94
50,0,50,0132793040,AKM1MP6P0OYPR,1,48,0.9411764705882353
51,0,51,0132793040,AKM1MP6P0OYPR,1,49,0.9423076923076923
52,0,52,0132793040,AKM1MP6P0OYPR,1,50,0.9433962264150944
53,0,53,0132793040,AKM1MP6P0OYPR,1,51,0.9444444444444444
54,0,54,0594033926,A3HQ8RXUMJ2Y58,1,52,0.9454545454545454
55,0,55,0132793040,AKM1MP6P0OYPR,1,53,0.9464285714285714
56,0,56,0132793040,AKM1MP6P0OYPR,1,54,0.9473684210526315
57,0,57,0132793040,AKM1MP6P0OYPR,1,55,0.9482758620689655
58,0,58,0132793040,AKM1MP6P0OYPR,1,56,0.9491525423728814
59,0,59,0594012015,A38ETMHM9ATSF0,0,56,0.9333333333333333
60,0,60,0132793040,AKM1MP6P0OYPR,1,57,0.9344262295081968
61,0,61,0594477670,A18U7ZDE2VHD01,1,58,0.9354838709677419
62,0,62,0132793040,AKM1MP6P0OYPR,1,59,0.9365079365079365
63,0,63,0132793040,AKM1MP6P0OYPR,1,60,0.9375
64,0,64,0132793040,AKM1MP6P0OYPR,1,61,0.9384615384615385
65,0,65,0132793040,AKM1MP6P0OYPR,1,62,0.9393939393939394
66,0,66,0132793040,AKM1MP6P0OYPR,1,63,0.9402985074626866
67,0,67,0132793040,AKM1MP6P0OYPR,1,64,0.9411764705882353
68,0,68,0132793040,AKM1MP6P0OYPR,1,65,0.9420289855072463
69,0,69,0132793040,AKM1MP6P0OYPR,1,66,0.9428571428571428
70,0,70,0132793040,AKM1MP6P0OYPR,1,67,0.9436619718309859
71,0,71,0594451647,A262D8GC5XRU31,1,68,0.9444444444444444
72,0,72,0132793040,AKM1MP6P0OYPR,1,69,0.9452054794520548
73,0,73,0132793040,AKM1MP6P0OYPR,1,70,0.9459459459459459
74,0,74,0132793040,AKM1MP6P0OYPR,1,71,0.9466666666666667
75,0,75,0132793040,AKM1MP6P0OYPR,1,72,0.9473684210526315
76,0,76,0132793040,AKM1MP6P0OYPR,1,73,0.948051948051948
77,0,77,0511189877,A1QGNMC6O1VW39,1,74,0.9487179487179487
78,0,78,0594033926,A3F069UFW04K1E,1,75,0.9493670886075949
79,0,79,0132793040,AKM1MP6P0OYPR,1,76,0.95
80,0,80,0594012015,A38T51B7J6QVD9,0,76,0.9382716049382716
81,0,81,0132793040,AKM1MP6P0OYPR,1,77,0.9390243902439024
82,0,82,0528881469,A3IQGFB959IR4P,0,77,0.927710843373494
83,0,83,0132793040,AKM1MP6P0OYPR,1,78,0.9285714285714286
84,0,84,0528881469,AMLFNXUIEMN4T,0,78,0.9176470588235294
85,0,85,0132793040,AKM1MP6P0OYPR,1,79,0.9186046511627907
86,0,86,0132793040,AKM1MP6P0OYPR,1,80,0.9195402298850575
87,0,87,0132793040,AKM1MP6P0OYPR,1,81,0.9204545454545454
88,0,88,0132793040,AKM1MP6P0OYPR,1,82,0.9213483146067416
89,0,89,0132793040,AKM1MP6P0OYPR,1,83,0.9222222222222223
90,0,90,0132793040,AKM1MP6P0OYPR,1,84,0.9230769230769231
91,0,91,0439886341,A1GI0U4ZRJA8WN,0,84,0.9130434782608695
92,0,92,0132793040,AKM1MP6P0OYPR,1,85,0.9139784946236559
93,0,93,0132793040,AKM1MP6P0OYPR,1,86,0.9148936170212766
94,0,94,0132793040,AKM1MP6P0OYPR,1,87,0.9157894736842105
95,0,95,0132793040,AKM1MP6P0OYPR,1,88,0.9166666666666666
96,0,96,0132793040,AKM1MP6P0OYPR,1,89,0.9175257731958762
97,0,97,0132793040,AKM1MP6P0OYPR,1,90,0.9183673469387755
98,0,98,0132793040,AKM1MP6P0OYPR,1,91,0.9191919191919192
99,0,99,0594033896,AOK77THMKCGXZ,0,91,0.91
100,0,100,0132793040,AKM1MP6P0OYPR,1,92,0.9108910891089109
101,0,101,0132793040,AKM1MP6P0OYPR,1,93,0.9117647058823529
102,0,102,0132793040,AKM1MP6P0OYPR,1,94,0.912621359223301
103,0,103,0132793040,AKM1MP6P0OYPR,1,95,0.9134615384615384
104,0,104,0132793040,AKM1MP6P0OYPR,1,96,0.9142857142857143
105,0,105,0528881469,A265MKAR2WEH3Y,0,96,0.9056603773584906
106,0,106,0132793040,AKM1MP6P0OYPR,1,97,0.9065420560747663
107,0,107,0132793040,AKM1MP6P0OYPR,1,98,0.9074074074074074
108,0,108,0132793040,AKM1MP6P0OYPR,1,99,0.908256880733945
109,0,109,0132793040,AKM1MP6P0OYPR,1,100,0.9090909090909091
110,0,110,0132793040,AKM1MP6P0OYPR,1,101,0.9099099099099099
111,0,111,0594012015,A38ETMHM9ATSF0,0,101,0.9017857142857143
112,0,112,0132793040,AKM1MP6P0OYPR,1,102,0.9026548672566371
113,0,113,0132793040,AKM1MP6P0OYPR,1,103,0.9035087719298246
114,0,114,0132793040,AKM1MP6P0OYPR,1,104,0.9043478260869565
115,0,115,0594033934,A1UMFN4RKU451R,1,105,0.9051724137931034
116,0,116,0132793040,AKM1MP6P0OYPR,1,106,0.905982905982906
117,0,117,0132793040,AKM1MP6P0OYPR,1,107,0.9067796610169492
118,0,118,0132793040,AKM1MP6P0OYPR,1,108,0.907563025210084
119,0,119,0132793040,AKM1MP6P0OYPR,1,109,0.9083333333333333
120,0,120,0132793040,AKM1MP6P0OYPR,1,110,0.9090909090909091
121,0,121,0132793040,AKM1MP6P0OYPR,1,111,0.9098360655737705
122,0,122,0132793040,AKM1MP6P0OYPR,1,112,0.9105691056910569
123,0,123,0132793040,AKM1MP6P0OYPR,1,113,0.9112903225806451
124,0,124,0528881469,AYTBGUX49LF3W,0,113,0.904
125,0,125,0132793040,AKM1MP6P0OYPR,1,114,0.9047619047619048
126,0,126,0132793040,AKM1MP6P0OYPR,1,115,0.905511811023622
127,0,127,0132793040,AKM1MP6P0OYPR,1,116,0.90625
